INSTITUTION,ACAD_CAREER,STRM,DESCR,DESCRSHORT,TERM_BEGIN_DT,TERM_END_DT,WEEKS_OF_INSTRUCT,TERM_CATEGORY,ACAD_YEAR
SISE,B18,2151,Semest Pregrad Regular 2015-01,PreGr 2015,00:00.0,00:00.0,15,R,2015
SISE,B18,2153,Semest Pregrad Regular 2015-03,PreGr 2015,00:00.0,00:00.0,15,R,2015
SISE,B18,2155,Pregrado Regular 2015-06 -GAST,2015-06,00:00.0,00:00.0,1,R,2015
SISE,B18,2161,Semest Pregrad Regular 2016-01,PreGr 2016,00:00.0,00:00.0,15,R,2016
SISE,B18,2171,INICIO FEBRERO BECA 2017,BECA FEB17,00:00.0,00:00.0,18,R,2017
SISE,B18,2172,INICIOBECA MAYO 2017,BECA MAY17,00:00.0,00:00.0,18,R,2017
SISE,CIDS,1400,1400 - IDIOMAS,1400 - IDI,00:00.0,00:00.0,52,R,2014
SISE,CIDS,1500,1500 - IDIOMAS,1500 - IDI,00:00.0,00:00.0,52,R,2015
SISE,CIDS,1600,1600 - IDIOMAS,1600 - IDI,00:00.0,00:00.0,52,R,2016
SISE,CIDS,1700,1700 - EXTENSIÓN | CULI | VACU,1700 - EXT,00:00.0,00:00.0,12,R,2017
SISE,CIDS,1751,2017 IDIOMAS ATE,17 IDI ATE,00:00.0,00:00.0,4,R,2017
SISE,CIDS,1752,2017 IDIOMAS INDEPENDENCIA,17 IDI IND,00:00.0,00:00.0,4,R,2017
SISE,CIDS,1753,2017 LIMA,2017 LIMA,00:00.0,00:00.0,4,R,2017
SISE,CIDS,1754,2017 MIRAFLORES,2017 MIRAF,00:00.0,00:00.0,4,R,2017
SISE,CIDS,1755,2017 SANTA BEATRIZ,2017 STABE,00:00.0,00:00.0,4,R,2017
SISE,CIDS,1756,2017 SJL,2017 SJL,00:00.0,00:00.0,4,R,2017
SISE,CIDS,1757,2017 SJM,2017 SJM,00:00.0,00:00.0,4,R,2017
SISE,CIDS,1758,2017 IDIOMAS SURCO,17 IDI SUR,00:00.0,00:00.0,4,R,2017
SISE,CIDS,1851,2018 IDIOMAS ATE,18 IDI ATE,00:00.0,00:00.0,4,R,2018
SISE,CIDS,1852,2018 IDIOMAS INDEPENDENCIA,18 IDI IND,00:00.0,00:00.0,4,R,2018
SISE,CIDS,1853,2018 IDIOMAS LIMA,18 IDI LIM,00:00.0,00:00.0,4,R,2018
SISE,CIDS,1854,2018 IDIOMAS MIRAFLORES,18 IDI MIR,00:00.0,00:00.0,4,R,2018
SISE,CIDS,1855,2018 IDIOMAS SANTA BEATRIZ,18 IDI SB,00:00.0,00:00.0,4,R,2018
SISE,CIDS,1856,2018 IDIOMAS SJL,18 IDI SUR,00:00.0,00:00.0,4,R,2018
SISE,CIDS,1857,2018 IDIOMAS SJM,18 IDI SJL,00:00.0,00:00.0,4,R,2018
SISE,CIDS,1858,2018 IDIOMAS SURCO,18 IDI SUR,00:00.0,00:00.0,4,R,2018
SISE,CIDS,1859,2018 IDIOMAS VILLA EL SALVADOR,18 IDI VIL,00:00.0,00:00.0,12,R,2018
SISE,CIDS,1951,2019 IDIOMAS ATE,19 IDI ATE,00:00.0,00:00.0,12,R,2019
SISE,CIDS,1952,2019 IDIOMAS INDEPENDENCIA,19 IDI IND,00:00.0,00:00.0,12,R,2019
SISE,CIDS,1953,2019 IDIOMAS LIMA,19 IDI LIM,00:00.0,00:00.0,12,R,2019
SISE,CIDS,1954,2019 IDIOMAS MIRAFLORES,19 IDI MIR,00:00.0,00:00.0,12,R,2019
SISE,CIDS,1955,2019 IDIOMAS STA BEATRIZ,19 IDI STA,00:00.0,00:00.0,12,R,2019
SISE,CIDS,1956,2019 IDIOMAS SJL,19 IDI SJL,00:00.0,00:00.0,12,R,2019
SISE,CIDS,1957,2019 IDIOMAS SJM,19 IDI SJM,00:00.0,00:00.0,12,R,2019
SISE,CIDS,1958,2019 IDIOMAS SURCO,19 IDI SUR,00:00.0,00:00.0,12,R,2019
SISE,CIDS,1959,2019 IDIOMAS VILLA EL SALVADOR,19 IDI VIL,00:00.0,00:00.0,12,R,2019
SISE,CIDS,2051,IDIOMAS 2020 - ATE,20 ATE,00:00.0,00:00.0,12,R,2020
SISE,CIDS,2052,IDIOMAS 2020 - INDEPENDENCIA,20 INDEPEN,00:00.0,00:00.0,12,R,2020
SISE,CIDS,2053,IDIOMAS 2020 - VENTANILLA,20 VENTANI,00:00.0,00:00.0,12,R,2020
SISE,CIDS,2054,IDIOMAS 2020 - MIRAFLORES,20 MIRAFLO,00:00.0,00:00.0,12,R,2020
SISE,CIDS,2055,IDIOMAS 2020 - STA. BEATRIZ,20 STA,00:00.0,00:00.0,12,R,2020
SISE,CIDS,2056,IDIOMAS 2020 - SJL,20 SJL,00:00.0,00:00.0,12,R,2020
SISE,CIDS,2057,IDIOMAS 2020 - SJM,20 SJM,00:00.0,00:00.0,12,R,2020
SISE,CIDS,2058,IDIOMAS 2020 - SURCO,20 SURC,00:00.0,00:00.0,12,R,2020
SISE,CIDS,2059,IDIOMAS 2020 - VILLA EL SALVAD,20 VILLA,00:00.0,00:00.0,12,R,2020
SISE,CIDS,2208,IDIOMAS VIRTUAL 2023,IDI VIR 23,00:00.0,00:00.0,4,R,2023
SISE,CPEX,2920,INICIO CPEX MAY 2019,May-19,00:00.0,00:00.0,12,R,2019
SISE,CPEX,2921,INICIO CPEX JULIO 2019,Jul-19,00:00.0,00:00.0,10,R,2019
SISE,CPEX,2922,INICIO CPEX OCTUBRE 2019,Oct-19,00:00.0,00:00.0,10,R,2019
SISE,CPEX,2923,INICIO CPEX DICIEMBRE 2019,Dic-19,00:00.0,00:00.0,10,R,2019
